geo_cluster_id,complaint_count,avg_response_time_hours,median_response_time_hours,same_day_closure_rate,repeat_proxy_rate,top_complaint_type,top_borough,top_agency,center_latitude,center_longitude,geo_hotspot_rank,geo_hotspot_label,management_meaning
8,38,22.544312865497076,2.335,0.6842105263157895,1.0,Illegal Parking,BROOKLYN,NYPD,40.60818965562851,-74.0110415751222,25,Hotspot 25: BROOKLYN | Illegal Parking,High-volume recurring service demand area
32,37,7.1015840840840845,3.0130555555555554,0.7027027027027027,1.0,Illegal Parking,QUEENS,NYPD,40.72307128968709,-73.88844762958065,26,Hotspot 26: QUEENS | Illegal Parking,High-volume recurring service demand area
26,37,62.972972972972975,25.666666666666668,0.3783783783783784,1.0,Noise - Residential,STATEN ISLAND,NYPD,40.643773942787384,-74.07951361432153,27,Hotspot 27: STATEN ISLAND | Noise - Residential,High-volume recurring service demand area
21,36,71.46970679012345,5.393750000000001,0.5833333333333334,1.0,Blocked Driveway,QUEENS,NYPD,40.67952331039042,-73.79240384778645,28,Hotspot 28: QUEENS | Blocked Driveway,High-volume recurring service demand area
16,31,17.902025089605736,1.7916666666666667,0.8387096774193549,1.0,Illegal Parking,QUEENS,NYPD,40.67188222623206,-73.80604962797197,29,Hotspot 29: QUEENS | Illegal Parking,High-volume recurring service demand area
37,31,13.746980286738351,2.9052777777777776,0.8709677419354839,1.0,Illegal Parking,QUEENS,NYPD,40.66633550023125,-73.81367003605182,30,Hotspot 30: QUEENS | Illegal Parking,High-volume recurring service demand area
13,30,10.298240740740741,2.017777777777778,0.6666666666666666,1.0,Illegal Parking,BROOKLYN,NYPD,40.62161879883481,-73.99194651911476,31,Hotspot 31: BROOKLYN | Illegal Parking,High-volume recurring service demand area
28,30,84.48401851851852,18.318333333333335,0.36666666666666664,1.0,HEAT/HOT WATER,BRONX,HPD,40.90525693626996,-73.84961199576192,32,Hotspot 32: BRONX | HEAT/HOT WATER,High-volume recurring service demand area
29,29,33.439645593869734,16.733333333333334,0.41379310344827586,1.0,HEAT/HOT WATER,BROOKLYN,HPD,40.600796464923334,-73.93597976446493,33,Hotspot 33: BROOKLYN | HEAT/HOT WATER,High-volume recurring service demand area
36,28,26.375535714285714,1.1845833333333333,0.75,1.0,Illegal Parking,BRONX,NYPD,40.81847167754666,-73.82010567867654,34,Hotspot 34: BRONX | Illegal Parking,High-volume recurring service demand area
38,27,12.60820987654321,2.4908333333333332,0.7407407407407407,1.0,Noise - Residential,BRONX,NYPD,40.8179583117755,-73.8645206944734,35,Hotspot 35: BRONX | Noise - Residential,High-volume recurring service demand area
31,26,87.52361111111112,9.14638888888889,0.5384615384615384,1.0,HEAT/HOT WATER,QUEENS,NYPD,40.71601356630807,-73.76461399237395,36,Hotspot 36: QUEENS | HEAT/HOT WATER,High-volume recurring service demand area
33,24,32.96962962962963,12.28875,0.5,1.0,Street Condition,QUEENS,DOT,40.71469813360469,-73.83421473990171,37,Hotspot 37: QUEENS | Street Condition,High-volume recurring service demand area
34,19,39.5121783625731,2.397777777777778,0.5789473684210527,1.0,Noise - Residential,QUEENS,NYPD,40.59455280244259,-73.75359895653662,38,Hotspot 38: QUEENS | Noise - Residential,High-volume recurring service demand area
35,15,47.587,4.375555555555556,0.5333333333333333,1.0,Illegal Parking,BROOKLYN,NYPD,40.62644331918806,-73.94478408358009,39,Hotspot 39: BROOKLYN | Illegal Parking,High-volume recurring service demand area
