column_name,arrow_dtype,semantic_type,nullable,column_order,null_count,null_pct,sample_row_count,sample_non_null_count,sample_distinct_estimate,sample_values,sample_min,sample_max,recommended_action,reason
resolution_description,string,string,True,35,834903,4.0188,150000,143998,707,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condi... | The Department of Sanitation investigated this complaint and issued a Notice of Violation. | The New York City Police Department responded to the complaint and their investigation determined that a violation of la... | NYC Parks determined that another entity needs to handle the condition. They have notified the appropriate resource. | The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The orig...,,,keep,No immediate issue
road_ramp,string,string,True,36,20727250,99.771,150000,321,61,Ramp | Roadway | Roadway | Ramp | Roadway,,,drop,Very high missingness
source_file,string,string,True,37,116664,0.5616,150000,149553,98,nyc_311_all_appended.parquet | nyc_311_all_appended.parquet | nyc_311_all_appended.parquet | nyc_311_all_appended.parquet | nyc_311_all_appended.parquet,,,keep,No immediate issue
source_parquet,string,string,True,38,116664,0.5616,150000,149553,129,batch_0.parquet | batch_0.parquet | batch_0.parquet | batch_0.parquet | batch_0.parquet,,,keep,No immediate issue
status,string,string,True,39,0,0.0,150000,150000,7,Open | Closed | Closed | Closed | Closed,,,keep,No immediate issue
street_name,string,string,True,40,874977,4.2117,150000,143610,7139,ADAM C POWELL BOULEVARD | MYRTLE AVENUE | BROOKHAVEN AVENUE | ROCKAWAY BEACH | 75 STREET,,,keep,No immediate issue
taxi_company_borough,string,string,True,41,20762990,99.943,150000,66,5,QUEENS | BROOKLYN | BROOKLYN | QUEENS | STATEN ISLAND,,,drop,Very high missingness
taxi_pick_up_location,string,string,True,42,20592980,99.1247,150000,1305,1129,"SIXTH AVENUE AND WEST 57 STREET, MANHATTAN, NY, 10019 | JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430 | 181 2 AVENUE, MANHATTAN (NEW YORK), NY, 10003 | 2482 BROADWAY, MANHATTAN (NEW YORK), NY, 10025 | 438 UTICA AVENUE, BROOKLYN, NY, 11213",,,drop,Very high missingness
unique_key,string,string,True,43,0,0.0,150000,150000,150000,68539143 | 68556713 | 68552976 | 68550834 | 68555836,,,review,Possible identifier field
vehicle_type,string,string,True,44,20391380,98.1543,150000,2736,6,Van | SUV | Car | Car | SUV,,,drop,Very high missingness
x_coordinate_state_plane,string,string,True,45,384068,1.8487,150000,147233,67730,996793.0 | 1012357.0 | 1053416.0 | 1024706.0 | 941941.0,,,review,High-cardinality string field
y_coordinate_state_plane,string,string,True,46,382705,1.8422,150000,147247,77014,230826.0 | 194506.0 | 157575.0 | 147274.0 | 146030.0,,,review,High-cardinality string field
