column_name,rank,value,count_in_sample,pct_in_sample
unique_key,14,68572307,1,0.0007
unique_key,15,68561870,1,0.0007
vehicle_type,1,Car,1702,1.1347
vehicle_type,2,SUV,355,0.2367
vehicle_type,3,Other,291,0.194
vehicle_type,4,Van,184,0.1227
vehicle_type,5,Truck,172,0.1147
vehicle_type,6,Car Service,32,0.0213
x_coordinate_state_plane,1,1022911,1201,0.8007
x_coordinate_state_plane,2,1023174,844,0.5627
x_coordinate_state_plane,3,1022911.0,515,0.3433
x_coordinate_state_plane,4,1037000,324,0.216
x_coordinate_state_plane,5,1012350,177,0.118
x_coordinate_state_plane,6,1023188,119,0.0793
x_coordinate_state_plane,7,1022955,107,0.0713
x_coordinate_state_plane,8,1003936,100,0.0667
x_coordinate_state_plane,9,1038740,94,0.0627
x_coordinate_state_plane,10,1037000.0,88,0.0587
x_coordinate_state_plane,11,1043001,82,0.0547
x_coordinate_state_plane,12,984166,81,0.054
x_coordinate_state_plane,13,986967,75,0.05
x_coordinate_state_plane,14,1004421,74,0.0493
x_coordinate_state_plane,15,988793,72,0.048
y_coordinate_state_plane,1,264242,1201,0.8007
y_coordinate_state_plane,2,264429,842,0.5613
y_coordinate_state_plane,3,264242.0,515,0.3433
y_coordinate_state_plane,4,202363,324,0.216
y_coordinate_state_plane,5,250589,175,0.1167
y_coordinate_state_plane,6,264423,119,0.0793
y_coordinate_state_plane,7,264223,108,0.072
y_coordinate_state_plane,8,242233,97,0.0647
y_coordinate_state_plane,9,200651,97,0.0647
y_coordinate_state_plane,10,202363.0,88,0.0587
y_coordinate_state_plane,11,175548,81,0.054
y_coordinate_state_plane,12,188346,79,0.0527
y_coordinate_state_plane,13,217880,79,0.0527
y_coordinate_state_plane,14,214950,75,0.05
y_coordinate_state_plane,15,194233,74,0.0493
