borough,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,management_priority_tier
BROOKLYN,150017,146580,475.365575482103,7.9655555555555555,470.67783333333335,0.5742393232364579,0.6554850593532542,0.42576067676354207,0.3445149406467458,0.48659818553897227,Critical
MANHATTAN,98618,95278,626.0264761977231,7.47375,707.3859166666667,0.5797245953945297,0.65552383551292,0.4202754046054703,0.3444761644870799,0.5877831633170415,Critical
BRONX,108644,106598,269.43539974692044,9.998194444444444,414.0866666666667,0.5861273194619036,0.6761008649317999,0.4138726805380964,0.3238991350682002,0.6263760539008136,High
QUEENS,121005,117818,503.4056696250903,4.940555555555555,391.6609722222223,0.6341815342307627,0.7082364324636303,0.3658184657692373,0.2917635675363697,0.4661873476302632,Moderate
STATEN ISLAND,21716,21180,551.8316060880285,23.43736111111111,462.32641666666746,0.5043437204910293,0.6252596789423985,0.49565627950897073,0.3747403210576015,0.292595321421993,Monitor
