model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate_test
logistic_regression_balanced,0.8365883279721656,0.8615664155945736,0.6839603670798142,0.9344155844155844,0.7898081104473201,0.9373953935803148,0.8570298512755319,0.3285629882491958
random_forest_balanced,0.8236887021597846,0.8593830690232724,0.6583051772977031,0.9634865134865136,0.7821820319944851,0.9383706731282015,0.8594765499102397,0.3285629882491958
dummy_most_frequent,0.6714370117508042,0.5,0.0,0.0,0.0,0.5,0.3285629882491958,0.3285629882491958
