borough,hotspot_count,total_hotspot_requests,avg_hotspot_delay_48h_rate,avg_hotspot_repeat_proxy_rate,avg_hotspot_priority_score
BROOKLYN,283,82089,0.3231828336987074,0.5608394732710765,0.193470603372096
BRONX,207,74948,0.3961786275011222,0.6232603100539443,0.22905697021110735
QUEENS,228,56031,0.16227840108415087,0.5956206547234344,0.1592832475355088
MANHATTAN,196,47686,0.2627193392352675,0.7249731529854301,0.21437818323902016
STATEN ISLAND,44,6498,0.2706878032064358,0.3827983302716145,0.13550745229984626
