borough,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
BROOKLYN,150017,146580,475.365575482103,7.9655555555555555,470.67783333333335,0.5742393232364579,0.6554850593532542,0.42576067676354207,0.3445149406467458,0.48659818553897227,0.300034,1.0,0.6357367680922619,0.5774967163643924,0.5812284689898609,0.7434046440490361,1,Critical
MANHATTAN,98618,95278,626.0264761977231,7.47375,707.3859166666667,0.5797245953945297,0.65552383551292,0.4202754046054703,0.3444761644870799,0.5877831633170415,0.197236,0.5993873781186428,0.6352694545614187,1.0,0.8843765177901005,0.7330228963784657,2,Critical
BRONX,108644,106598,269.43539974692044,9.998194444444444,414.0866666666667,0.5861273194619036,0.6761008649317999,0.4138726805380964,0.3238991350682002,0.6263760539008136,0.217288,0.6775317417635093,0.3872839821771015,0.0,1.0,0.5033213042703587,3,High
QUEENS,121005,117818,503.4056696250903,4.940555555555555,391.6609722222223,0.6341815342307627,0.7082364324636303,0.3658184657692373,0.2917635675363697,0.4661873476302632,0.24201,0.7738754959041628,0.0,0.6561304680052747,0.5200780312245409,0.480094221851193,4,Moderate
STATEN ISLAND,21716,21180,551.8316060880285,23.43736111111111,462.32641666666746,0.5043437204910293,0.6252596789423985,0.49565627950897073,0.3747403210576015,0.292595321421993,0.043432,0.0,1.0,0.7919329029538097,0.0,0.4583865805907619,5,Monitor
