borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BRONX,10466,NOISE - RESIDENTIAL,9980,30.828429303050548,0.987374749498998,0.0827655310621242,1.0,0.0827655310621242,0.0018955256147715563,0.9861607831046708,0.618207868228681,1,BRONX | 10466 | NOISE - RESIDENTIAL
QUEENS,11356,NOISE - HELICOPTER,147,16105.648548752835,1.0,0.8979591836734694,0.004757085020242915,0.8979591836734694,1.0,1.0,0.5763926299264646,2,QUEENS | 11356 | NOISE - HELICOPTER
MANHATTAN,10023,NOISE - HELICOPTER,994,8306.597849597585,0.9728370221327968,1.0,0.09048582995951417,1.0,0.5157477756553246,0.9702251973378734,0.557601537799679,3,MANHATTAN | 10023 | NOISE - HELICOPTER
MANHATTAN,10011,NOISE - HELICOPTER,317,13078.147743603226,0.8990536277602523,0.9369085173501576,0.021963562753036438,0.9369085173501576,0.8120189167051073,0.8893472458141227,0.5426848411073446,4,MANHATTAN | 10011 | NOISE - HELICOPTER
QUEENS,11414,NOISE - HELICOPTER,507,3824.657057308788,0.9940828402366864,1.0,0.04119433198380567,1.0,0.23745880411651005,0.993513882567137,0.5007993299244261,5,QUEENS | 11414 | NOISE - HELICOPTER
MANHATTAN,10016,NOISE - HELICOPTER,265,5350.424755765199,0.958490566037736,0.9018867924528302,0.016700404858299597,0.9018867924528302,0.33219551378949647,0.9544992743105952,0.4728810419870709,6,MANHATTAN | 10016 | NOISE - HELICOPTER
QUEENS,11430,TAXI COMPLAINT,135,2266.3287613168727,0.9925925925925926,0.9925925925925926,0.00354251012145749,0.9925925925925926,0.1407003686731978,0.9918803418803419,0.4690462758737792,7,QUEENS | 11430 | TAXI COMPLAINT
MANHATTAN,10024,NOISE - HELICOPTER,123,10265.15543586269,0.6991869918699187,0.943089430894309,0.002327935222672065,0.943089430894309,0.6373569181319526,0.6702626641651033,0.4663596023654596,8,MANHATTAN | 10024 | NOISE - HELICOPTER
MANHATTAN,10025,NOISE - HELICOPTER,142,4547.900917449138,0.852112676056338,0.971830985915493,0.004251012145748988,0.971830985915493,0.2823658654405926,0.8378927410617552,0.4545915793656128,9,MANHATTAN | 10025 | NOISE - HELICOPTER
BRONX,10452,UNSANITARY CONDITION,546,407.0453729141229,0.8131868131868132,0.9084249084249084,0.0451417004048583,0.9084249084249084,0.02525527782147926,0.7952240067624683,0.40799600029388594,10,BRONX | 10452 | UNSANITARY CONDITION
MANHATTAN,10039,UNSANITARY CONDITION,140,775.2037678571428,0.7642857142857142,0.9571428571428572,0.004048582995951417,0.9571428571428572,0.048114665269958515,0.741620879120879,0.39644652309876444,11,MANHATTAN | 10039 | UNSANITARY CONDITION
BRONX,10468,UNSANITARY CONDITION,349,513.8775581025151,0.7507163323782235,0.9283667621776504,0.025202429149797572,0.9283667621776504,0.031888613762568185,0.7267467489530528,0.3923053040593274,12,BRONX | 10468 | UNSANITARY CONDITION
BROOKLYN,11226,UNSANITARY CONDITION,527,525.7762407758802,0.7001897533206831,0.9392789373814042,0.043218623481781376,0.9392789373814042,0.03262741695459931,0.6713618449861335,0.39127366527848023,13,BROOKLYN | 11226 | UNSANITARY CONDITION
MANHATTAN,10026,UNSANITARY CONDITION,146,890.6905460426179,0.7054794520547946,0.9794520547945206,0.00465587044534413,0.9794520547945206,0.05528537506221233,0.6771601685985248,0.39045020185580465,14,MANHATTAN | 10026 | UNSANITARY CONDITION
BRONX,10467,UNSANITARY CONDITION,375,513.4215525925927,0.7013333333333334,0.9333333333333332,0.02783400809716599,0.9333333333333332,0.031860299844501554,0.6726153846153847,0.38376905847195186,15,BRONX | 10467 | UNSANITARY CONDITION
BRONX,10453,UNSANITARY CONDITION,391,498.36707658425695,0.7161125319693095,0.9130434782608696,0.02945344129554656,0.9130434782608696,0.030925549735213286,0.6888156600432815,0.3824442105523744,16,BRONX | 10453 | UNSANITARY CONDITION
MANHATTAN,10031,UNSANITARY CONDITION,263,641.9796926489228,0.6615969581749049,0.973384030418251,0.016497975708502026,0.973384030418251,0.03984262585844005,0.6290582041532612,0.3817332325973818,17,MANHATTAN | 10031 | UNSANITARY CONDITION
BRONX,10456,UNSANITARY CONDITION,398,516.4105150753769,0.6959798994974874,0.9246231155778896,0.030161943319838055,0.9246231155778896,0.032045888038065656,0.666747197526092,0.3813768789333359,18,BRONX | 10456 | UNSANITARY CONDITION
MANHATTAN,10035,UNSANITARY CONDITION,116,685.0461518199235,0.6724137931034483,0.9827586206896552,0.0016194331983805667,0.9827586206896552,0.04251667292553568,0.6409151193633953,0.3808979532632754,19,MANHATTAN | 10035 | UNSANITARY CONDITION
MANHATTAN,10030,UNSANITARY CONDITION,143,590.3874708624709,0.6853146853146853,0.965034965034965,0.004352226720647773,0.965034965034965,0.03663920416999286,0.6550564819795589,0.3795068089684111,20,MANHATTAN | 10030 | UNSANITARY CONDITION
BRONX,10458,UNSANITARY CONDITION,404,464.24843853135314,0.6856435643564357,0.9207920792079208,0.03076923076923077,0.9207920792079208,0.028807083397955197,0.655416984006093,0.3779101714205844,21,BRONX | 10458 | UNSANITARY CONDITION
BRONX,10455,UNSANITARY CONDITION,181,617.8313167587477,0.6795580110497238,0.9558011049723756,0.00819838056680162,0.9558011049723756,0.038343224817183164,0.6487462813429665,0.3777303684609854,22,BRONX | 10455 | UNSANITARY CONDITION
