borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
MANHATTAN,HEAT/HOT WATER,9181,9052,61.28882637968282,46.06638888888889,99.64730555555556,0.23199292973928415,0.526623950508175,0.7680070702607159,0.473376049491825,0.8627600479250627,0.020851976179552752,0.36314158921544,0.4762219976851626,0.0033248126928081866,0.8938543988014422,0.40470927788973066,17,Critical
QUEENS,MAINTENANCE OR FACILITY,711,590,4758.0156539548025,2484.3806944444445,12569.82525000001,0.11186440677966102,0.16101694915254236,0.888135593220339,0.8389830508474576,0.5682137834036568,0.0016148300908029635,0.008540567696558653,0.8440270371250976,0.26089566146400583,0.5745081372815745,0.3945526627163622,18,Critical
BRONX,PLUMBING,3148,3044,498.31106192509856,216.9177777777778,1240.9864444444459,0.059789750328515114,0.14553219448094612,0.9402102496714849,0.8544678055190539,0.5657560355781448,0.0071497681094904765,0.11056685924809512,0.8596048865141585,0.027291330711365153,0.5718434537517693,0.3878146508961192,19,Critical
BRONX,PAINT/PLASTER,3141,3032,444.2622332160657,196.85944444444442,1056.25375,0.05408970976253298,0.14313984168865435,0.945910290237467,0.8568601583113457,0.5641515440942375,0.007133869641648535,0.11027380055262496,0.862011622188969,0.024327265906927256,0.5701038684344718,0.3875803502966656,20,Critical
QUEENS,ILLEGAL PARKING,19807,19794,2.8395912060893873,1.4445833333333333,6.731416666666667,0.9936344346771749,0.9991916742447207,0.006365565322825098,0.0008083257552793776,0.6771848336446711,0.04498585036362067,0.8080046889391275,0.0008131854291588128,0.0001194273965416638,0.692654254547416,0.38696762041886296,21,Critical
MANHATTAN,FOR HIRE VEHICLE COMPLAINT,1397,1131,1910.6018852539542,1635.5325,3497.5630555555554,0.00618921308576481,0.010610079575596816,0.9938107869142352,0.9893899204244032,0.3707945597709377,0.003172879939313277,0.03726031985263334,0.9953381564189387,0.10474206596402529,0.3604667501952283,0.3866609845961926,22,Critical
BRONX,DOOR/WINDOW,2218,2124,576.1342501046245,275.20624999999995,1442.6827500000002,0.02024482109227872,0.07062146892655367,0.9797551789077212,0.9293785310734464,0.46032461677186653,0.0050375430962039,0.0716319182784895,0.9349659771520442,0.0315591932823357,0.45753499529201663,0.38050305249335414,23,Critical
MANHATTAN,PLUMBING,1880,1793,666.2297256305385,215.64638888888888,1736.7372777777778,0.053541550474065815,0.14779698828778584,0.9464584495259342,0.8522030117122141,0.5803191489361702,0.004269874220407273,0.05748136984007368,0.857326476712488,0.03650007423061845,0.5876327417759515,0.3727613485702886,24,Critical
BROOKLYN,PAINT/PLASTER,2445,2367,427.03280054452426,174.5811111111111,935.007888888889,0.036755386565272496,0.12082805238698775,0.9632446134347274,0.8791719476130122,0.48588957055214727,0.005553107696221161,0.0811353931173072,0.8844575505044732,0.02338239520016181,0.4852524488775383,0.37119899911406257,25,Critical
QUEENS,UNSANITARY CONDITION,2139,2074,593.5445198489232,257.27625,1575.690916666667,0.03182256509161042,0.10993249758919961,0.9681774349083896,0.8900675024108003,0.48106591865357645,0.0048581175305591265,0.06832454157246923,0.895418609639723,0.03251398118463527,0.4800226585653619,0.37104536746401245,26,Critical
