borough,request_count,avg_response_hours,median_response_hours
BROOKLYN,977056,128.22196617809132,6.5
QUEENS,807696,129.92109424593892,3.59
BRONX,729497,127.58734762771768,7.713611111111111
MANHATTAN,648048,152.77266776877994,8.7125
STATEN ISLAND,135166,128.64232686876642,9.505972222222223
Unspecified,2537,518.9340541862285,66.565
