borough,request_count,avg_response_hours,median_response_hours
BROOKLYN,977056,128.24052979343497,6.5025
QUEENS,807696,129.97985693182807,3.5925
BRONX,729497,127.63768095456193,7.719583333333333
MANHATTAN,648048,152.83823426803852,8.733611111111111
STATEN ISLAND,135166,128.66506786462597,9.516666666666667
Unspecified,2537,519.2073224570821,66.61861111111111
