metric,value
count,127611.0
mean,61.09165643809877
median,4.599166666666667
std,198.2069065799054
min,0.0
p25,0.9538888888888889
p75,44.449861111111105
p90,118.96777777777778
p95,235.82555555555555
max,2301.3541666666665
